id,name,popularity,duration_ms,artists,id_artists,release_date,mood,url
3SFXsFpeGmBTtQvKiwYMDA,Pretty Fly (For A White Guy),74,188667,['The Offspring'],['5LfGQac0EIXyAN8aUwmNAQ'],16-11-1998,Happy,https://open.spotify.com/track/3SFXsFpeGmBTtQvKiwYMDA
6WK9dVrRABMkUXFLNlgWFh,Enjoy the Silence,74,255133,['Depeche Mode'],['762310PdDnwsDxAQxzQkfX'],28-09-1998,Happy,https://open.spotify.com/track/0yp3TvJNlG50Q4tAHWNCRm
75IN3CtuZwTHTnZvYM4qnJ,My Name Is,74,268400,['Eminem'],['7dGJo4pcD2V6oG8kP0tJRR'],23-02-1999,Happy,https://open.spotify.com/track/75IN3CtuZwTHTnZvYM4qnJ
3RmKpob8xzv1pzHEQrMJah,Let Me Blow Ya Mind,74,230133,"['Eve', 'Gwen Stefani']","['4d3yvTptO48nOYTPBcPFZC', '4yiQZ8tQPux8cPriYMWUFP']",01-01-2001,Happy,https://open.spotify.com/track/3RmKpob8xzv1pzHEQrMJah
04KTF78FFg8sOHC1BADqbY,Hot In Herre,74,228240,['Nelly'],['2gBjLmx6zQnFGQJCAQpRgw'],25-06-2002,Happy,https://open.spotify.com/track/04KTF78FFg8sOHC1BADqbY
5YJ4BVvTFmVCxUyhKejHfR,Pa' Que Retozen,74,151667,['Tego Calderon'],['3SUT1jjM5hzZj9TLfLZGIP'],01-07-2003,Happy,https://open.spotify.com/track/5YJ4BVvTFmVCxUyhKejHfR
6z5Xrx58p5Bs18RIe6KXbI,"Lo Que Pasó, Pasó",74,210933,['Daddy Yankee'],['4VMYDCV2IEDYJArk749S6m'],13-07-2004,Happy,https://open.spotify.com/track/40a82F3K2UTbeoLlXXXZBd
66iygyOSvvoQQsKJ1vEXfT,Tú de Qué Vas,74,238160,['Franco De Vita'],['4NEYQeEYBUjfaXgDQGvFvu'],28-04-2004,Happy,https://open.spotify.com/track/66iygyOSvvoQQsKJ1vEXfT
5nZYc9ZDMhlXv6iWahZTU8,Ven Bailalo - Reggaeton Mix,74,252773,['Angel Y Khriz'],['7npqy7rgdX2D3yfVyWExKo'],22-07-2005,Happy,https://open.spotify.com/track/0e8DgtfJnWTBarF9YGMd0N
5BSclXJTa9B0iURhUjZo50,La Tortura (feat. Alejandro Sanz),74,212893,"['Shakira', 'Alejandro Sanz']","['0EmeFodog0BfCgMzAIvKQp', '5sUrlPAHlS9NEirDB8SEbF']",03-06-2005,Happy,https://open.spotify.com/track/5BSclXJTa9B0iURhUjZo50
0fGh0trRN1xz3s41r7V5ce,Shake That,74,274440,"['Eminem', 'Nate Dogg']","['7dGJo4pcD2V6oG8kP0tJRR', '1Oa0bMld0A3u5OTYfMzp5h']",06-12-2005,Happy,https://open.spotify.com/track/0fGh0trRN1xz3s41r7V5ce
7k6IzwMGpxnRghE7YosnXT,Me & U,74,192213,['Cassie'],['27FGXRNruFoOdf1vP8dqcH'],07-08-2006,Happy,https://open.spotify.com/track/7k6IzwMGpxnRghE7YosnXT
